Date,IQR,P75,P25,Median,Mean,Std
2012-05-21,,,,,,
2012-05-22,,,,,,
2012-05-23,,,,,,
2012-05-24,,,,,,
2012-05-25,,,,,,
2012-05-29,,,,,,
2012-05-30,,,,,,
2012-05-31,,,,,,
2012-06-01,,,,,,
2012-06-04,,,,,,
2012-06-05,,,,,,
2012-06-06,,,,,,
2012-06-07,,,,,,
2012-06-08,,,,,,
2012-06-11,,,,,,
2012-06-12,,,,,,
2012-06-13,,,,,,
2012-06-14,,,,,,
2012-06-15,,,,,,
2012-06-18,,,,,,
2012-06-19,,,,,,
2012-06-20,,,,,,
2012-06-21,,,,,,
2012-06-22,,,,,,
2012-06-25,,,,,,
2012-06-26,,,,,,
2012-06-27,,,,,,
2012-06-28,,,,,,
2012-06-29,,,,,,
2012-07-02,,,,,,
2012-07-03,,,,,,
2012-07-05,,,,,,
2012-07-06,,,,,,
2012-07-09,,,,,,
2012-07-10,,,,,,
2012-07-11,,,,,,
2012-07-12,,,,,,
2012-07-13,,,,,,
2012-07-16,,,,,,
2012-07-17,,,,,,
2012-07-18,,,,,,
2012-07-19,,,,,,
2012-07-20,,,,,,
2012-07-23,,,,,,
2012-07-24,,,,,,
2012-07-25,,,,,,
2012-07-26,,,,,,
2012-07-27,,,,,,
2012-07-30,,,,,,
2012-07-31,,,,,,
2012-08-01,,,,,,
2012-08-02,,,,,,
2012-08-03,,,,,,
2012-08-06,,,,,,
2012-08-07,,,,,,
2012-08-08,,,,,,
2012-08-09,,,,,,
2012-08-10,,,,,,
2012-08-13,,,,,,
2012-08-14,,,,,,
2012-08-15,,,,,,
2012-08-16,,,,,,
2012-08-17,,,,,,
2012-08-20,0.6634583094499628,1.2140567064676788,0.5505983970177161,0.8769443321096924,0.9719801363420941,0.5508130532635581
2012-08-21,0.6843356552966783,1.2352595866557037,0.5509239313590254,0.8801593270199539,0.9824082963490148,0.5498014142982292
2012-08-22,0.6833693765251454,1.2321395384855633,0.548770161960418,0.8797837440439926,0.9824935463270469,0.5455441479422767
2012-08-23,0.6835987505352324,1.2333560517010738,0.5497573011658413,0.8801009566850633,0.98217674935183,0.5454904768254104
2012-08-24,0.6789987247776176,1.2259360033262192,0.5469372785486016,0.8750378298267808,0.9822856960613907,0.5444271908732201
2012-08-27,0.6604523494581446,1.2199302691087541,0.5594779196506096,0.868652440625507,0.9819529626780087,0.5440994802845122
2012-08-28,0.6908471341326319,1.2362752399057686,0.5454281057731367,0.8693086295864102,0.9834694803022273,0.5374439863332864
2012-08-29,0.7144321258879562,1.2534614460266027,0.5390293201386465,0.8747535511044788,0.9791493045490106,0.5345276863240075
2012-08-30,0.6995111165594499,1.2437612904122828,0.5442501738528329,0.8769140543751914,0.9806482502826891,0.5346545613760614
2012-08-31,0.6141511075163564,1.172600769762314,0.5584496622459576,0.8905002482313438,0.970208827873024,0.5362179913229306
2012-09-04,0.6119675330193097,1.1692086270555315,0.5572410940362218,0.8879905057325678,0.9687385985430907,0.5362138076844939
2012-09-05,0.6108637725234873,1.1716214221276557,0.5607576496041684,0.9077338985496379,0.9697860990205066,0.5300277041429139
2012-09-06,0.616542042469544,1.1751356731702336,0.5585936307006896,0.8796529301734941,0.9568961058736599,0.53834547053121
2012-09-07,0.6090254808558402,1.1671152274328667,0.5580897465770265,0.8924968110812254,0.9654520974727151,0.527688100783008
2012-09-10,0.6326966024378419,1.1820490921437066,0.5493524897058647,0.8910283826390359,0.9624800017481636,0.5326225599636865
2012-09-11,0.6358153614445361,1.1956378263484524,0.5598224649039163,0.8601837772070468,0.9620232706991415,0.5276811836132549
2012-09-12,0.6402327581491496,1.1940200762173294,0.5537873180681798,0.8671013898105213,0.959153035030804,0.5279400013336609
2012-09-13,0.6414012690564621,1.2009441707974504,0.5595429017409883,0.8464627458289196,0.9601448083487304,0.5289341956923639
2012-09-14,0.6704636442198351,1.2330926014712806,0.5626289572514456,0.8527894591716187,0.9628896453364492,0.5319398735227056
2012-09-17,0.6471132732916054,1.2370336680192184,0.589920394727613,0.8685778849435015,0.959164654549553,0.5350177379909731
2012-09-18,0.6297093560951083,1.2076149281819077,0.5779055720867995,0.874700704741607,0.9592994626748654,0.5363876630025967
2012-09-19,0.6283525164197143,1.2082186600941234,0.579866143674409,0.8736998870805261,0.9572162434487448,0.5357988625200856
2012-09-20,0.6449960044765004,1.2237268673439972,0.5787308628674968,0.8668016683319464,0.9573153934302217,0.5392307993658487
2012-09-21,0.6680718411793252,1.2410897870822046,0.5730179459028795,0.8450413008893674,0.9630121261358477,0.5486661306476255
2012-09-24,0.6591922786065353,1.2352625477959678,0.5760702691894325,0.8509303064333547,0.9594883367928339,0.5531512137621868
2012-09-25,0.664257002542089,1.2327137547361127,0.5684567521940237,0.844255550094321,0.9571183680302329,0.5522751250988268
2012-09-26,0.6817410987292932,1.2345974562847069,0.5528563575554136,0.8556812718249669,0.9617289803301988,0.5577105890647674
2012-09-27,0.6688027845891249,1.2471270702279638,0.5783242856388389,0.8455076937085845,0.9547627463138624,0.5573709137771508
2012-09-28,0.6632326119785174,1.2344358531615804,0.5712032411830631,0.8588341795697085,0.954884533008639,0.5607037703642838
2012-10-01,0.6647359564634345,1.2406693965322542,0.5759334400688196,0.8719223044974158,0.9755602940079828,0.5517963101395917
2012-10-02,0.6662580631006032,1.245557586167077,0.5792995230664737,0.8718155725595869,0.9765172069725873,0.5514217779783097
2012-10-03,0.6424968009182618,1.2435770684388554,0.6010802675205936,0.8598552626964604,0.9740867237035435,0.5434396856325212
